word,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,variant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ana,a-ṣa-a-te,e-na,a-na,am-ma-la,ana,a-UGU,a-da-at,am-me-ni,a-ša₂-šu-me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
šarru,LUGAL-ma,LUGAL-MEŠ,LUGAL-ni,šar-ri-ma,LUGAL,LUGAL-ia,LUGAL-e,LUGAL-ku-nu,šar-ri,MAN-MEŠ-ni,MAN,LUGAL-MEŠ-ni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bēlu,be-li₈,EN-pi-qi-ta-te,be-li₂-a,EN-MEŠ,be-li₈-ia,be-li-ia,be-li₂-ka,EN-a,U-šu₂,be-li₂-ia₂,EN-ŠU.2-MEŠ,EN-li₂-šu₂,{LU₂}EN-pi-qit-te-ka-a,EN-in,EN-ku-nu,{LU₂}EN-URU-MEŠ,{LU₂}EN-iš-ka-ra-te,EN-ṣa-si-šu₂-nu,EN-li,EN-in-ni,EN-ka,{LU₂}EN-pi-qi-te,{LU₂}EN-pi-qi-te-ka,EN-šu₂-nu,EN-MEŠ-ia,EN-ŠU.2,{LU₂}EN-MUD₂-MEŠ,be-li₈-ia₂,be-li₂,EN-ni,be-el,be-li₂-ia,BE-i-ni,be-li-ia₂,{LU₂}EN-{GIŠ}GIGIR,BE-ia,EN-pi-qit-te,{LU₂}EN-pi-qit-te,EN-li₂,{LU₂}EN-URU-u₂-ti,EN-ia,BE-i,be-li₂-ni,U-ia₂,EN-ha-bu-li-šu₂-nu,EN-MEŠ-šu₂,EN-šu₂-MEŠ,{LU₂}EN-pi-qi-ta-ti,EN-šu,EN-il-ki-šu₂-nu,EN-e-ni,{LU₂}EN-pi-qit-ta-te-ia,EN-MEŠ-šu,be-li-ni,BE-ia₂,be-li,EN-šu₂,EN-de-ni-šu₂,be-el-li,BE-ni,BE,be₂-li-ni,EN-i-ni,UMUN.MU,EN-MEŠ-šu₂-nu,{LU₂}EN-URU-MEŠ-ni,{LU₂}EN-URU,EN,be-li₂-šu₂,be-li₂-i-ni,EN-i,be-li₂-šu₂-nu,EN-ia₂,{LU₂}EN-pi-qi-ta-te,EN-ša₂,EN-il-ki-šu₂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ardu,ARAD-MEŠ-ni-ka,ARAD-su,ARAD-MEŠ,ur-di,ARAD-MEŠ-ka,ARAD-MEŠ-ni,ur-du,ARAD-šu₂-nu,{LU₂}ARAD-MEŠ-ka,{LU₂}ARAD-šu₂,ARAD-i-šu,{LU₂}ARAD-MEŠ-ia,{LU₂}ARAD-i-šu₂,ARAD-šu₂,{LU₂}ur-du,{LU₂}ARAD-MEŠ-šu₂-nu,{LU₂}ARAD-ME-ia,{LU₂}ARAD-ka,ARAD-i-šu₂,ARAD-MEŠ-ia,ARAD-MEŠ-šu,{LU₂}ARAD-MEŠ-šu₂,{LU₂}ARAD-šu,ARAD-MEŠ-šu₂,ARAD-šu,ARAD-ša₂,ARAD-ka,{LU₂}ARAD-MEŠ,ARAD-ki,ARAD,ARAD-MEŠ-ni-šu₂,{LU₂}ARAD,{LU₂}ur-du-u₂,{LU₂}ARAD-MEŠ-ni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adda-hati,{1}10-ha-ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lū,lu,lu-u₂,lu-u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
šulmu,šul-mu,šu-lam-ka,DI,šu-lam-šu₂,DI-mu,DI-me,šul-me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
māru,DUMU-MEŠ-šu₂-nu,{LU₂}A-SIG₅,DUMU-BAR₂.SIPA{KI},A-MEŠ,DUMU-a.a,DUMU-ŠU.SI-MEŠ,DUMU-MEŠ-ia₂,DUMU-ŠEŠ-AD-šu₂,DUMU-{URU}NINA,{LU₂}A-SIG,DUMU-MEŠ-ŠAM₂-MEŠ-e,{LU₂}DUMU-šip-ri,DUMU-ia,DUMU-NINA{KI},{LU₂}DUMU-MEŠ-šu₂,DUMU-šip-ri,DUMU-MEŠ-a,DUMU-e-ša₂,DUMU-MEŠ-{LU₂}ŠAM₂-MEŠ,DUMU-ŠEŠ-šu₂,DUMU,{LU₂}A-šip-ri,DUMU-MEŠ-ŠAM₂-MEŠ,{LU₂}A-SIG-MEŠ,DUMU-{URU}ni-nu-a,AMAR-šu₂,{LU₂}DUMU-KIN-ia,A-MEŠ-šu₂,DUMU-ša₂,{LU₂}A-KIN-ka,DUMU-MEŠ,DUMU-MEŠ-šu₂-u-ni,DUMU.UŠ-šu₂,DUMU-MEŠ-KA₂.DINGIR{KI},{LU₂}A-KIN-ia,A-šu₂,{LU₂}DUMU-ki-it-ki-te-e,A-MAN,{LU₂}A-KIN-šu₂,DUMU-šu,{LU₂}DUMU-šu₂,{LU₂}A-KIN,{LU₂}DUMU-ŠAM₂-MEŠ,DUMU-MEŠ-ia,DUMU-MEŠ-um-ma-nu,DUMU-MEŠ-šu₂,DUMU-MEŠ-ka,DUMU-PAB-šu₂,DUMU-šip-ri-MEŠ,DUMU-šu₂,DUMU-MEŠ-ša₂,{LU₂}A-šip-ri-ka,DUMU-MEŠ-ni,DUMU-MAN,{LU₂}A-šip-ri-ia,{LU₂}A-šip-ri-ia₂,A,DUMU-LUGAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amiru,{1}a-mi-ri,{1}a-me-ri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ina,i-ša₂-šu-me,im-mat,i-da-a-tu₂-u-a,id-da-a-te,il-li-diš,in-nu-di-šu,i-da-tu₂-uš-šu,in₆-ni-du-u₂-a,ina,i-ši-a-ri,i-da-te,ib-E₂,i-ši-a-ru-ma,i-ba-ti,ni-ri-it,i-da-tu-šu,i-da-at,i-DI-me,i-na,i-ti-ma-li,im-ma-te,i-li-diš,id-da-a-ti,ip-pi-it-ti,in₆-ni-di,i-da-a-te,i-ṭe₃-en,i-da-tu-uš-šu₂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libbu,ŠA₃-bi-šu-nu,ŠA₃-ba-šu₂-nu,ŠA₃-bu,ŠA₃-ia,ŠA₃-bi-ka,ŠA₃-MEŠ-šu₂-nu,ŠA₃-ma,ŠA₃-šu₂-nu,lib{ib}-bi,ŠA₃-šu₂,ŠA₃,ŠA₃-bi-ia₂,ŠA₃-bi-ni,{UZU}ŠA₃,lib-bu-šu₂,ŠA₃-bi-ša₂,ŠA₃-bi-ši-na,ŠA₃-ba-ku-nu,ŠA₃-bi,ŠA₃-bi-ia,ŠA₃-ku-nu,ŠA₃-šu,ŠA₃-ba-ki,ŠA₃-bi-ša₂-ni,ŠA₃-ba-ka,ŠA₃-MEŠ,ŠA₃-bi-šu₂-nu,ŠA₃-ka,ŠA₃-bi-šu₂,ŠA₃-ba-šu₂,ŠA₃-bu-šu₂,ŠA₃-bi-šu,lib-bu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meʾatu,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
