Name,display_name,genre,title,ruler,date,provenience,line_count,word_count,Personal_Names,aproximate_breaks,number_of_dates,number_of_eponyms,places_of_dates_in_text,Break_ratio,Fragmentary,Line_ratio,Word_ratio,Relative_Path
,,,,,,,,,,,,,,,,,,
Q003414,RINAP 1 Tigl. III 01,Royal Inscription,,Tiglath-pileser III,,Nimrud,7,77,0,11,0,0,,0.0,7.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003414.json
Q003415,RINAP 1 Tigl. III 02,Royal Inscription,,Tiglath-pileser III,,Nimrud,4,12,0,7,0,0,,0.0,1.7142857142857142,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003415.json
Q003416,RINAP 1 Tigl. III 03,Royal Inscription,,Tiglath-pileser III,,Nimrud,7,23,0,14,0,0,,0.0,1.6428571428571428,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003416.json
Q003417,RINAP 1 Tigl. III 04,Royal Inscription,,Tiglath-pileser III,,Nimrud,7,37,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003417.json
Q003418,RINAP 1 Tigl. III 05,Royal Inscription,,Tiglath-pileser III,,Nimrud,4,58,0,13,0,0,,0.0,4.461538461538462,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003418.json
Q003419,RINAP 1 Tigl. III 06,Royal Inscription,,Tiglath-pileser III,,Nimrud,4,41,0,13,0,0,,0.0,3.1538461538461537,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003419.json
Q003420,RINAP 1 Tigl. III 07,Royal Inscription,,Tiglath-pileser III,,Nimrud,3,31,0,3,0,0,,0.0,10.333333333333334,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003420.json
Q003421,RINAP 1 Tigl. III 08,Royal Inscription,,Tiglath-pileser III,,Nimrud,4,25,0,4,0,0,,0.0,6.25,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003421.json
Q003422,RINAP 1 Tigl. III 09,Royal Inscription,,Tiglath-pileser III,,Nimrud,2,9,0,6,0,0,,0.0,1.5,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003422.json
Q003423,RINAP 1 Tigl. III 10,Royal Inscription,,Tiglath-pileser III,,Nimrud,3,16,0,4,0,0,,0.0,4.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003423.json
Q003424,RINAP 1 Tigl. III 11,Royal Inscription,,Tiglath-pileser III,,Nimrud,10,60,1,16,0,0,,0.0625,3.75,0.1,0.016666666666666666,jsons_unzipped/rinap/rinap1/corpusjson/Q003424.json
Q003425,RINAP 1 Tigl. III 12,Royal Inscription,,Tiglath-pileser III,,Nimrud,2,28,0,1,0,0,,0.0,28.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003425.json
Q003426,RINAP 1 Tigl. III 13,Royal Inscription,,Tiglath-pileser III,,Nimrud,3,28,0,12,0,0,,0.0,2.3333333333333335,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003426.json
Q003427,RINAP 1 Tigl. III 14,Royal Inscription,,Tiglath-pileser III,,Nimrud,3,30,1,8,0,0,,0.125,3.75,0.3333333333333333,0.03333333333333333,jsons_unzipped/rinap/rinap1/corpusjson/Q003427.json
Q003428,RINAP 1 Tigl. III 15,Royal Inscription,,Tiglath-pileser III,,Nimrud,5,59,0,3,0,0,,0.0,19.666666666666668,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003428.json
Q003429,RINAP 1 Tigl. III 16,Royal Inscription,,Tiglath-pileser III,,Nimrud,2,2,0,2,0,0,,0.0,1.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003429.json
Q003430,RINAP 1 Tigl. III 17,Royal Inscription,,Tiglath-pileser III,,Nimrud,4,48,0,15,0,0,,0.0,3.2,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003430.json
Q003431,RINAP 1 Tigl. III 18,Royal Inscription,,Tiglath-pileser III,,Nimrud,4,71,0,5,0,0,,0.0,14.2,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003431.json
Q003432,RINAP 1 Tigl. III 19,Royal Inscription,,Tiglath-pileser III,,Nimrud,7,35,0,8,0,0,,0.0,4.375,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003432.json
Q003433,RINAP 1 Tigl. III 20,Royal Inscription,,Tiglath-pileser III,,Nimrud,8,45,0,17,0,0,,0.0,2.6470588235294117,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003433.json
Q003434,RINAP 1 Tigl. III 21,Royal Inscription,,Tiglath-pileser III,,Nimrud,11,49,0,16,0,0,,0.0,3.0625,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003434.json
Q003435,RINAP 1 Tigl. III 22,Royal Inscription,,Tiglath-pileser III,,Nimrud,8,48,0,18,0,0,,0.0,2.6666666666666665,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003435.json
Q003436,RINAP 1 Tigl. III 23,Royal Inscription,,Tiglath-pileser III,,Nimrud,7,30,0,14,0,0,,0.0,2.142857142857143,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003436.json
Q003437,RINAP 1 Tigl. III 24,Royal Inscription,,Tiglath-pileser III,,Nimrud,5,39,0,11,0,0,,0.0,3.5454545454545454,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003437.json
Q003438,RINAP 1 Tigl. III 25,Royal Inscription,,Tiglath-pileser III,,Nimrud,4,41,0,11,0,0,,0.0,3.727272727272727,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003438.json
Q003439,RINAP 1 Tigl. III 26,Royal Inscription,,Tiglath-pileser III,,Nimrud,3,32,0,13,0,0,,0.0,2.4615384615384617,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003439.json
Q003440,RINAP 1 Tigl. III 27,Royal Inscription,,Tiglath-pileser III,,Nimrud,2,24,0,11,0,0,,0.0,2.1818181818181817,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003440.json
Q003441,RINAP 1 Tigl. III 28,Royal Inscription,,Tiglath-pileser III,,Nimrud,2,28,0,1,0,0,,0.0,28.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003441.json
Q003442,RINAP 1 Tigl. III 29,Royal Inscription,,Tiglath-pileser III,,Nimrud,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003442.json
Q003443,RINAP 1 Tigl. III 30,Royal Inscription,,Tiglath-pileser III,,Nimrud,5,28,0,2,0,0,,0.0,14.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003443.json
Q003444,RINAP 1 Tigl. III 31,Royal Inscription,,Tiglath-pileser III,,Nimrud,8,58,0,2,0,0,,0.0,29.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003444.json
Q003445,RINAP 1 Tigl. III 32,Royal Inscription,,Tiglath-pileser III,,Nimrud,12,84,1,13,0,0,,0.07692307692307693,6.461538461538462,0.08333333333333333,0.011904761904761904,jsons_unzipped/rinap/rinap1/corpusjson/Q003445.json
Q003446,RINAP 1 Tigl. III 33,Royal Inscription,,Tiglath-pileser III,,Nimrud,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003446.json
Q003447,RINAP 1 Tigl. III 34,Royal Inscription,,Tiglath-pileser III,,Nimrud,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003447.json
Q003448,RINAP 1 Tigl. III 35,Royal Inscription,,Tiglath-pileser III,,Luristan,18,116,0,30,0,0,,0.0,3.8666666666666667,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003448.json
Q003449,RINAP 1 Tigl. III 36,Royal Inscription,,Tiglath-pileser III,,Nimrud,3,14,0,8,0,0,,0.0,1.75,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003449.json
Q003450,RINAP 1 Tigl. III 37,Royal Inscription,,Tiglath-pileser III,,Mila Mergi,11,104,0,10,0,0,,0.0,10.4,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003450.json
Q003451,RINAP 1 Tigl. III 38,Royal Inscription,,Tiglath-pileser III,,Ashur,5,19,0,10,0,0,,0.0,1.9,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003451.json
Q003452,RINAP 1 Tigl. III 39,Royal Inscription,,Tiglath-pileser III,,Nimrud,3,46,0,1,0,0,,0.0,46.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003452.json
Q003453,RINAP 1 Tigl. III 40,Royal Inscription,,Tiglath-pileser III,,Nimrud,3,25,0,0,0,0,,0.0,0.0,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003453.json
Q003454,RINAP 1 Tigl. III 41,Royal Inscription,,Tiglath-pileser III,,Nimrud,2,13,0,4,0,0,,0.0,3.25,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003454.json
Q003455,RINAP 1 Tigl. III 42,Royal Inscription,,Tiglath-pileser III,,Nimrud,5,34,0,9,0,0,,0.0,3.7777777777777777,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003455.json
Q003456,RINAP 1 Tigl. III 43,Royal Inscription,,Tiglath-pileser III,,Nimrud,11,22,0,12,0,0,,0.0,1.8333333333333333,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003456.json
Q003457,RINAP 1 Tigl. III 44,Royal Inscription,,Tiglath-pileser III,,Nimrud,2,12,0,8,0,0,,0.0,1.5,0.0,0.0,jsons_unzipped/rinap/rinap1/corpusjson/Q003457.json
