,Name,in Text
0,Anat (Qal'at 'Ana),Anat
1,Arpadda (Tell Rifa'at),Arpadda
2,Arrapha (Kirkuk),Arrapha
3,Ashdod / Asdudu (Tel Ashdod),Asdudu
4,Dilbat (Deilam),Dilbat
5,Dur-Kurigalzu (Aqar Quf),Dur-Kurigalzu
6,Eridu (Abu Shahrain),Eridu
7,Gubla (Byblos),Gubla
8,Guzana (Tell Halaf),Guzana
9,Hazazu? ('Azaz),Hazazu
10,Hindanu (Karable),Hindanu
11,Huzirina (Sultantepe),Huzirina
12,Isin (Ishan Bahriyat),Isin
13,Isqaluna / Ashqelon,Isqaluna
14,Kahat (Tell Barri),Kahat
15,Kalhu (Nimrud),Kalhu
16,Kar-Tukulti-Ninurta (Tulul al-ʿAqir),Kar-Tukulti-Ninurta
17,Kasappa (Tell Kashaf),Kasappa
18,Kissik/Duru? (Tell al-Lahm),Duru
19,Kissik/Duru? (Tell al-Lahm),Kissik
20,Kummuhu / Samosata (Samsat),Kummu
21,Kummuhu / Samosata (Samsat),Kummuhu
22,Kullania (Tell Tayinat),Kullani
23,Kullania (Tell Tayinat),Kullania
24,Larak? (Tell Wilaya),Larak
25,Larsa (Sinkara),Larsa
26,Marad (Wanna-wa-Sadum),Marad
27,Melid (Arslantepe),Melid
28,Muṣaṣir? (Muǧesir),Muṣaṣir
29,Nappigi (Manbij)?,Nappigi
30,Nippur (Nuffar),Nippur
31,Qarnina / Qarnaim (Shaykh Sa'ad)?,Qarnina
32,Samerina / Shomron / Samaria,Samerina
33,Ṣariptu / Sarephtha (Ras al-Qantara),Sare
34,Sippar-dūrim (Tell ed-Der),Sippar
35,Sippar-ṣērim (Abu Habba),Sippar
36,Ṣumur / Ṣimirra (Tall Kazel),Ṣimirra
37,Suru? (Sur Telbis),Suru
38,Tarbiṣu (Sharif Khan),Tarbiṣu
39,Til Barsip / Masuwari (Tell Ahmar),Barsip
40,Uruk (Warka),Uru
41,Uruk (Warka),Uruk
