Name,x,y,In Text,Related To the Place
Adab (Bismaya),45.623448,31.950467,,
Admannu (Tell 'Ali),43.680686,35.380798,,
Akhetaten (el-'Amarna),30.900675,27.650334,,
Akkû / 'Akkô (Tell al-Fukhkhar),35.087758,32.921387,Akku,
Akzibu / Akzib (az-Zib),35.101936,33.048583,,
Alalakh (Tell Açana),36.384184,36.237605,,
Alexandria,29.903425,31.196757,,
Alexandria / Charax (Naisan / Khayabir),47.578031,30.894692,,
Amida (Diyarbakir),40.236755,37.910848,,
Amkuwa (Alişar Hüyük),35.261597,39.606239,,
Amman / Philadelphia,35.935155,31.954313,Ammana,
Amqaruna / Eqron (Tel Miqne / Khirbat al-Muqanna),34.850933,31.777601,"EKRON,Amqarruna",
Amrit,35.912077,34.835117,,
Anat (Qal'at 'Ana),41.979432,34.467606,Anat,
Anshan (Tell Malyan),52.410668,30.011113,,
Antiokia (Antakya),36.170084,36.212562,,
Apamea,36.401532,35.420698,,
Aphek / Pegae / Antipatris (Tel Ras el-'Ain),34.930777,32.10478,,
Apqu (Tell Abu Maria),42.597602,36.429586,Apku,
Arad,35.126332,31.281014,,
Araziqa? (Tell el-Hajj)?,38.070954,36.207506,,
Arbatu? (Tell Khaumat Hajin),40.826062,34.712626,,
Ardata (Tell Ardé),35.914669,34.408487,,
Argishtihinili (Davti-blur),44.03411,40.081326,,
Arpadda (Tell Rifa'at),37.094639,36.472623,"Arpadda,Arpad",
Arrapha (Kirkuk),44.395723,35.469635,Arrapha,
Artemita? (Karastel),44.777466,33.799913,,
Arwad,35.858734,34.856213,Arwada,
Ashdod / Asdudu (Tel Ashdod),34.656061,31.756038,Asdudu,
Asdudimmu (Ashdod Yam / Minat al-Qal'a),34.621498,31.779612,,
Asdudimmu (Tel Mor),34.656309,31.822921,,
Assur (Qal'at Sherqat),43.259795,35.456262,"Al-Aššur,Aššur,Antaṣ",Bab-Aššur
Astartu / Ashtarot (Tell Ashtara),36.015537,32.804278,,
Awal (Tell es-Suleimeh),45.103554,34.167169,,
Azamhul? (Tall Muhammed Diyab),41.563944,36.924583,,
Azatiwadaya (Karatepe Aslantaş),36.253988,37.295938,,
Azeqa (Tell Zakariya),34.936308,31.701096,,
Azu (Tall Hadidi),38.150893,36.263683,,
Babylon,44.426329,32.54036,"Babili,Dimkurkurra",
Bad-Tibira (Tell Medinah/Madain),46.004338,31.384478,,
Baṣiru (Tall Bazi),38.276084,36.427308,,
Batruna / Botrus (Batrun)?,35.658306,34.255156,,
Beersheva (Tell as-Saba'),34.840628,31.244959,,
Beth Shean / Bit-Sani (Tell el-Hosn),35.503003,32.504192,,
Bet-Shemesh  (Tel Bet-Shemesh),34.974577,31.750643,,
Bi'rutu / Bi'rû /Berytos (Beirut),35.507235,33.898964,,
Bisitun,47.433003,34.386934,,
Borsippa (Birs Nimrud),44.343169,32.39272,Barsip,Bab-Barsip
Bosra,36.482138,32.520015,,
Burmarina (Tall ash-Shiyukh Fawqani),38.035968,36.787551,,
Burushhanda? (Açemhöyük),33.835484,38.411589,,
Caesarea,34.891182,32.498719,,
Chalcis (Al-'Is / Qinnasrin),37.00384,35.989323,,
Circesium (Buseire),40.42791,35.156684,,
Cyrrhus,36.958917,36.744613,,
Dabigu / Dabekov (Tell Dabiq),37.268486,36.539758,,
Damaskus,36.309206,33.510124,Dimašqa,
Dan (Tell Qadi),35.652523,33.248555,,
Daskara (Bint el-Emir),44.929682,33.93651,,
Dedan?,37.910624,26.66663,,
Deir el-'Aqul (Tell ed-Deir),44.986532,32.878071,,
Der (Tell Aqar),45.932361,33.123921,Deru,
Diban,35.776461,31.501822,,
Dilbat (Deilam),44.466221,32.295716,Dilbat,
Diniktum? (D851),45.343616,32.833613,,
Doura Europos (Qal'at es-Salihiye),40.73059,34.747915,,
Dor / Du'ru (Tel Dor),34.916271,32.616302,Duʾru,
Dunnu-sha-Uzibi (Giricano),40.750062,37.817006,,
Dur-Assur-ketti-lešer (Tall Bderi),40.813687,36.387553,,
Dur-Katlimmu / Magdala (Tall Sheikh Hamad),40.743255,35.645642,,
Dur-Kurigalzu (Aqar Quf),44.200798,33.354663,Dur-Kurigalzu,
Dur-Sharrukin (Khorsabad),43.233673,36.503645,,
Dur-Untash (Chogha Zanbil),48.522272,32.008111,,
Ebla (Tell Mardikh),36.798308,35.798882,,
Edessa / Urfa,38.789471,37.15211,,
Ekalte (Tell Munbaqa),38.129759,36.217454,,
Elephantine,32.885933,24.085358,,
Emar / Barbalissus (Tell Meskene),38.111194,35.986637,,
Enu-Shasî? (Tell 'Ayn Sharif),36.026333,33.891122,,
