,name,index,coordinates,northeast,southwest

0,Zvartnots International Airport,0,"(40.1491782, 44.3988571)","(40.15959974999999, 44.4017542)","(40.14570435000002, 44.3978914)"

1,זווארטנוץ,1,"(40.1602393, 44.3363394)","(40.16158912989272, 44.33768922989272)","(40.15888947010728, 44.33498957010728)"

2,זווארטנוץ,2,"(40.16527019999999, 44.3427833)","(40.1700854, 44.3527508)","(40.1555893, 44.3299842)"

3,Īshān Abū Ḩaţab,0,"(31.8386111, 45.4805556)","(31.8480897, 45.49656299999999)","(31.8291315, 45.4645482)"

4,Acemhöyük,0,"(38.4112098, 33.8356942)","(38.41200634999999, 33.83729492989272)","(38.40882015, 33.83459527010728)"

5,ADA GARDEN GULAN PARK,0,"(36.213348, 43.9948941)","(36.21464597989273, 43.99664672989272)","(36.21194632010729, 43.99394707010728)"

6,Ada Hanina Cafe,0,"(32.0523223, 34.755636)","(32.05368592989272, 34.75696037989272)","(32.05098627010728, 34.75426072010728)"

7,כס האם הקדושה אצ'מיאדזין,0,"(38.3414571, 43.0354673)","(38.3440707, 43.0394964)","(38.3391106, 43.0321285)"

8,כס האם הקדושה אצ'מיאדזין,0,"(38.3414571, 43.0354673)","(38.3440707, 43.0394964)","(38.3391106, 43.0321285)"

9,מוזיאון ארצות המקרא,0,"(31.7746276, 35.2027523)","(31.77604762989272, 35.20426737989272)","(31.77334797010727, 35.20156772010728)"

10,Altıntepe,0,"(40.9535953, 29.1056232)","(40.959029, 29.114481)","(40.9487351, 29.09481)"

11,המוזיאון הלאומי של עיראק,0,"(33.3284501, 44.3859098)","(33.32935942989272, 44.38738662989272)","(33.32665977010728, 44.38468697010728)"

12,Amarah,1,"(31.83790119999999, 47.1420675)","(31.8844605, 47.1956348)","(31.8000112, 47.1090745)"

13,קוט,2,"(32.51649080000001, 45.8160287)","(32.5679373, 45.9360695)","(32.4585015, 45.7233809)"

14,מסופוטמיה,3,"(34.5337527, 43.483738)","(37.06718100000001, 48.575909)","(29.1030541, 41.218105)"

15,תל חלף,4,"(36.8250704, 40.0402377)","(36.8291935, 40.0516249)","(36.8153661, 40.032227)"

16,ירושלים,5,"(31.768319, 35.21371)","(31.8829601, 35.2652869)","(31.7096771, 35.0854311)"

17,דמשק,6,"(33.5138073, 36.2765279)","(33.5651386, 36.3678997)","(33.4498124, 36.1978912)"

18,לבנון,7,"(33.854721, 35.862285)","(34.69209, 36.62372)","(33.0550256, 35.0711001)"

19,תל אביב יפו,8,"(32.0852999, 34.78176759999999)","(32.146611, 34.8519761)","(32.029252, 34.7425159)"

20,ערקא,9,"(34.5304672, 36.0381967)","(34.5663051, 36.0598011)","(34.5219249, 36.0281239)"

21,ביירות,10,"(33.8937913, 35.5017767)","(33.9161091, 35.5416362)","(33.8623275, 35.4669284)"

22,הספרייה הלאומית,11,"(31.7759544, 35.1966085)","(31.77688132989273, 35.19746387989273)","(31.77418167010728, 35.19476422010729)"

23,כאמד א-לוז,12,"(33.6199656, 35.8226749)","(33.6292567, 35.83868229999999)","(33.6106735, 35.8066675)"

24,יפו,13,"(32.049357, 34.758355)","(32.0588139, 34.7743624)","(32.0398991, 34.7423476)"

25,בית לחם,14,"(31.7053821, 35.2024425)","(31.7148744, 35.2184499)","(31.6958888, 35.1864351)"

26,בית שמש,15,"(31.747041, 34.988099)","(31.768437, 35.032697)","(31.68703, 34.9465991)"

27,דורא,16,"(31.505093, 35.027527)","(31.5146057, 35.0435344)","(31.4955793, 35.0115196)"

28,Anah,0,"(34.3732088, 41.986585)","(34.3797126, 41.9981575)","(34.3637018, 41.9779872)"

29,אנטקיה,0,"(36.1968031, 36.1612344)","(36.41301199999999, 36.3969869)","(36.150869, 36.023355)"

30,Dereüstü,0,"(38.557435, 43.46915660000001)","(38.562007, 43.4723104)","(38.5542467, 43.465678)"

31,ארביל,0,"(36.190073, 43.9930303)","(36.2661445, 44.10179610000001)","(36.1284471, 43.91613)"

32,Arin-Berd,0,"(40.1405742, 44.53812)","(40.14192402989272, 44.53946982989272)","(40.13922437010728, 44.53677017010727)"

33,Arin-Berd,0,"(40.1405742, 44.53812)","(40.14192402989272, 44.53946982989272)","(40.13922437010728, 44.53677017010727)"

34,ארמביר,0,"(45.0014406, 41.1326893)","(45.033972, 41.1765871)","(44.958935, 41.050737)"

35,אשקלון,0,"(31.6687885, 34.5742523)","(31.7159071, 34.614373)","(31.619543, 34.5149351)"

36,אשקלון,0,"(31.6687885, 34.5742523)","(31.7159071, 34.614373)","(31.619543, 34.5149351)"

37,Temple of Ashur,0,"(35.45640710000001, 43.2594174)","(35.45788077989273, 43.26077032989272)","(35.45518112010728, 43.25807067010728)"

38,Tall al Asmar,0,"(33.3330556, 44.1594444)","(33.3423775, 44.1754518)","(33.3237327, 44.143437)"

